,floors,grade,bathrooms,condition,bedrooms,lat,sqft_living,sqft_living15,zipcode,sqft_above
102,1,8,2,4,3.0,47.4688,1800,2730,98027,1360
103,1,7,1,3,4.0,47.3206,1240,1240,98023,1240
104,2,8,2,3,4.0,47.7048,2450,2970,98052,2450
105,1,6,2,4,3.0,47.4873,1550,1510,98059,1550
106,1,7,2,3,3.0,47.7341,1050,1130,98019,1050
107,1,6,1,4,2.0,47.4204,1200,1200,98198,1200
108,1,8,2,4,4.0,47.6382,2600,2550,98199,1300
109,2,10,3,3,5.0,47.5396,4490,4530,98027,3200
110,1,8,2,3,4.0,47.6809,2800,2580,98115,1660
111,2,9,3,4,4.0,47.6196,2170,1670,98112,1610
112,1,6,1,4,3.0,47.6515,1560,1470,98199,780
113,2,10,3,3,4.0,47.5937,3690,3430,98075,3690
114,2,8,2,3,3.0,47.564,1790,1890,98027,1790
115,1,7,1,4,3.0,47.6878,1880,1770,98115,1040
116,1,9,2,3,5.0,47.5641,3190,3100,98006,1690
117,1,7,1,2,2.0,47.7504,2110,1480,98155,2110
118,2,7,1,3,2.0,47.5917,1160,1220,98144,1160
119,1,6,1,3,4.0,47.3628,1120,1150,98042,1120
120,1,7,1,3,4.0,47.632,2070,1730,98008,1160
121,2,9,1,3,3.0,47.6945,1480,1480,98034,1480
122,2,8,2,3,3.0,47.5644,1940,1880,98027,1940
123,1,8,2,4,5.0,47.5563,2740,2020,98006,1370
124,1,9,1,4,4.0,47.6331,2300,2840,98052,1960
125,2,7,2,3,4.0,47.5402,2910,2320,98065,2910
126,2,9,2,3,4.0,47.6971,2440,1350,98117,2440
127,1,8,1,4,3.0,47.5929,1670,2330,98075,1670
128,2,9,2,3,4.0,47.6227,2730,2750,98074,2730
129,2,9,2,3,4.0,47.708,3400,3070,98052,3400
130,1,8,2,3,4.0,47.5688,1990,1720,98027,1210
131,2,11,2,3,4.0,47.6805,4340,2720,98053,4340
132,2,9,2,3,3.0,47.51,3040,2670,98056,3040
133,1,7,1,4,5.0,47.7296,1120,1310,98034,1120
134,1,7,2,4,4.0,47.5858,2120,1570,98005,1620
135,3,8,2,3,3.0,47.6916,1410,1430,98103,1410
136,3,9,2,3,3.0,47.6604,1680,1950,98105,1680
137,2,7,2,3,3.0,47.4439,1880,1810,98055,1880
138,2,9,2,3,4.0,47.3328,2370,2590,98092,2370
139,1,7,1,3,2.0,47.5247,840,1630,98136,840
140,1,7,1,5,2.0,47.6205,1140,1520,98112,1140
141,1,8,2,3,5.0,47.3408,3090,1760,98023,1750
142,3,8,2,3,3.0,47.6856,1408,1408,98115,1408
143,2,7,2,3,3.0,47.5801,2230,1310,98144,2230
144,1,5,1,3,3.0,47.7534,1340,1800,98019,1340
145,2,10,2,4,5.0,47.652,3180,3180,98033,3180
146,2,8,2,3,3.0,47.5401,1620,1620,98027,1540
147,1,8,2,3,3.0,47.6912,2010,2080,98052,1330
148,3,8,3,3,3.0,47.7338,1571,1520,98125,1571
149,1,6,1,3,2.0,47.6926,1770,1060,98117,1520
150,2,10,4,3,4.0,47.5404,4420,4420,98027,3410
151,2,8,3,3,2.0,47.5221,1410,1410,98136,1140
152,1,6,1,5,2.0,47.4882,810,1090,98168,810
153,1,7,1,4,3.0,47.5238,1450,1170,98118,1450
154,2,7,2,3,4.0,47.3614,2310,1980,98038,2310
155,1,8,3,4,4.0,47.7306,2340,1440,98034,1340
156,1,6,1,4,2.0,47.731,1140,1450,98133,1140
157,2,9,2,3,2.0,47.6364,2220,1870,98112,2220
158,2,9,1,4,6.0,47.6024,2920,2020,98122,2780
159,1,8,2,4,6.0,47.492,3200,2220,98146,1600
160,1,7,3,3,6.0,47.7663,3470,2120,98028,3470
161,1,8,1,3,3.0,47.2975,1850,1940,98023,1320
162,1,7,3,3,5.0,47.5701,2890,1930,98108,1310
163,1,7,1,3,2.0,47.6624,1660,1660,98105,1160
164,2,8,2,3,3.0,47.6176,1790,1680,98074,1790
165,1,7,2,3,4.0,47.395,2810,1860,98198,1710
166,1,7,2,3,4.0,47.6992,2060,1280,98117,1030
167,2,10,2,4,4.0,47.6424,3490,2540,98199,2280
168,2,8,2,4,4.0,47.5689,2260,2770,98006,1400
169,1,7,2,3,3.0,47.6872,1420,1420,98103,1420
170,1,6,1,4,3.0,47.3266,800,820,98023,800
171,2,9,2,3,3.0,47.6426,2200,1890,98102,1610
172,2,8,3,4,5.0,47.5741,3480,2540,98075,2490
173,1,7,1,3,3.0,47.7291,1310,1090,98133,1310
174,2,10,4,3,5.0,47.5309,4510,3510,98040,4510
175,1,5,1,1,2.0,47.4739,780,1700,98168,780
176,1,7,1,4,3.0,47.4863,1630,2090,98045,1630
177,1,9,2,3,3.0,47.6359,2970,2990,98074,1770
178,2,7,2,3,3.0,47.6553,1650,1650,98014,1650
179,1,7,1,3,4.0,47.6074,1840,1840,98008,960
180,2,9,2,3,4.0,47.7227,2150,2450,98052,2150
181,1,7,1,4,3.0,47.3324,1690,1580,98001,1060
182,1,8,1,3,3.0,47.7608,1410,2090,98177,1410
183,1,6,1,3,2.0,47.7001,720,840,98117,720
184,1,8,2,5,4.0,47.3182,2680,1230,98001,2680
185,2,10,2,3,4.0,47.6378,3880,3240,98074,3880
186,1,6,1,3,2.0,47.525,900,900,98106,900
187,1,7,1,5,3.0,47.539,1230,1270,98056,1230
188,2,9,2,4,4.0,47.5599,2290,3130,98006,2290
189,1,7,1,3,3.0,47.5549,1900,1330,98118,1280
190,1,7,1,4,4.0,47.7373,1500,1740,98028,1000
191,1,7,1,3,3.0,47.49,1010,1440,98055,1010
192,1,6,1,4,3.0,47.6966,1510,1510,98115,860
193,1,7,1,4,2.0,47.6653,1170,1570,98103,740
194,2,8,2,4,3.0,47.4996,2460,2770,98059,2460
195,3,10,2,3,3.0,47.6797,2690,2040,98117,2690
196,1,7,2,3,5.0,47.7198,2240,1820,98034,1340
197,2,9,2,3,4.0,47.5497,2110,2520,98027,2110
198,2,8,3,3,4.0,47.7466,3100,2000,98028,2400
199,1,7,1,4,3.0,47.3672,1580,1650,98198,1100
200,1,6,1,4,3.0,47.7098,1350,1130,98125,860
201,2,10,5,3,5.0,47.5974,4490,2490,98004,3930
202,2,9,2,3,4.0,47.6075,3030,2790,98074,3030
203,2,8,2,3,5.0,47.7157,3040,2020,98052,3040
204,3,8,2,3,3.0,47.6937,1270,1370,98103,1270
205,2,9,3,3,3.0,47.651,3020,2060,98199,2080
206,1,6,1,3,2.0,47.5699,930,2800,98006,930
207,1,7,2,3,4.0,47.5071,1300,1560,98146,1300
208,1,6,1,3,3.0,47.3076,1420,1200,98023,1420
209,1,7,2,4,3.0,47.4476,1640,2020,98148,1140
210,1,7,2,3,4.0,47.551,1890,1590,98106,980
211,2,8,2,3,3.0,47.7163,1850,1780,98034,1850
212,2,9,2,3,4.0,47.6728,3740,3180,98053,3740
213,1,7,2,3,2.0,47.6797,1100,1390,98117,1100
214,1,9,2,3,4.0,47.5232,3370,2120,98136,1970
215,1,7,1,4,3.0,47.6224,1260,1500,98008,1260
216,1,7,1,3,3.0,47.6725,1630,2320,98115,1160
217,1,6,1,3,3.0,47.762,1050,1500,98133,1050
218,2,8,2,3,4.0,47.6788,3040,3040,98052,3040
219,2,8,2,3,4.0,47.74,2740,2080,98077,2740
220,2,8,2,3,2.0,47.6191,1230,1270,98122,1020
221,1,7,2,4,5.0,47.5803,2910,2830,98008,1690
222,2,10,2,3,4.0,47.5273,3200,3770,98059,3200
223,1,7,1,3,2.0,47.681,1030,1400,98117,1030
224,1,7,2,3,4.0,47.7245,1440,1460,98034,1200
225,2,8,2,3,4.0,47.4444,2331,2441,98058,2331
226,1,7,1,4,3.0,47.375,1490,1490,98042,1010
227,1,7,1,3,3.0,47.6977,1110,2010,98115,1110
228,2,8,3,3,4.0,47.7741,3380,2220,98177,3380
229,2,10,3,3,4.0,47.4595,3569,2550,98055,3569
230,1,9,3,5,4.0,47.6687,3760,3430,98105,2400
231,1,8,1,3,3.0,47.6424,2130,2020,98199,1170
232,1,9,2,4,3.0,47.3149,1980,2360,98023,1560
233,2,8,2,3,4.0,47.7443,2000,2210,98028,2000
234,1,7,2,3,5.0,47.6831,1800,1400,98103,1400
235,1,8,3,5,4.0,47.5694,2450,2530,98006,1580
236,1,7,2,4,5.0,47.6949,2020,1510,98117,2020
237,2,7,2,3,3.0,47.5452,2000,1840,98136,2000
238,2,7,2,3,4.0,47.3732,2000,2330,98042,2000
239,3,8,2,3,3.0,47.62,1480,1480,98112,1480
240,1,7,2,5,4.0,47.7357,1520,1520,98034,1520
241,1,7,1,4,3.0,47.5874,1430,1450,98007,1430
242,1,8,2,4,3.0,47.7651,1970,1970,98155,1180
243,2,11,4,3,4.0,47.634,4460,3470,98053,4460
244,2,10,3,3,3.0,47.6356,2960,2960,98199,2440
245,1,8,2,4,4.0,47.6498,2210,2190,98199,1210
246,1,7,1,3,3.0,47.6633,1340,1960,98105,1080
247,1,9,2,4,3.0,47.4824,2460,2870,98027,1860
248,2,9,2,3,4.0,47.3162,2656,1860,98001,2656
249,1,7,2,3,4.0,47.6781,1650,1690,98117,1650
250,1,7,2,4,3.0,47.5421,1610,1040,98136,1010
251,2,8,2,3,3.0,47.5375,2280,2280,98027,1880
252,1,7,2,4,4.0,47.7005,2510,1220,98033,1280
253,1,7,2,3,5.0,47.5298,2410,1590,98118,1410
254,1,6,1,3,3.0,47.6718,990,1250,98105,990
255,1,6,1,3,2.0,47.5874,760,1750,98144,760
256,1,7,2,3,5.0,47.532,2420,2210,98118,1620
257,2,7,2,3,3.0,47.7166,1770,1650,98034,1770
258,1,7,1,4,3.0,47.429,1840,1590,98058,1220
259,1,7,1,3,4.0,47.4835,1490,1280,98168,1490
260,1,7,2,4,3.0,47.6388,1760,1760,98199,980
261,1,6,1,3,3.0,47.4798,1400,1070,98166,1400
262,2,7,2,3,3.0,47.507,1600,1500,98056,1600
263,1,7,1,3,3.0,47.3277,1250,1980,98010,1250
264,3,8,2,3,3.0,47.6722,1170,1350,98107,1170
265,1,9,1,3,3.0,47.7092,2720,2560,98014,2720
266,1,8,2,4,4.0,47.7476,2180,1790,98072,2180
267,1,7,2,3,3.0,47.3674,1410,1570,98030,1410
268,1,7,1,4,3.0,47.4812,1040,1660,98059,1040
269,3,8,3,3,3.0,47.6572,1680,1640,98103,1680
270,2,7,2,4,3.0,47.4279,1630,1730,98058,1630
271,1,7,1,5,5.0,47.492,3000,2230,98178,1500
272,1,8,2,4,3.0,47.7575,1660,2510,98133,1660
273,1,7,2,4,3.0,47.7501,1570,1410,98155,1570
274,2,10,2,4,3.0,47.327,3240,2090,98042,3240
275,1,7,2,4,4.0,47.6503,2410,2090,98033,1780
276,2,8,2,3,3.0,47.3783,2680,2020,98010,2680
277,1,7,1,4,3.0,47.6746,1960,1960,98115,1090
278,1,6,1,3,3.0,47.6874,1010,1470,98033,1010
279,3,8,1,3,2.0,47.6619,820,820,98103,820
280,1,8,2,3,4.0,47.5866,2650,1690,98116,1520
281,2,7,1,3,3.0,47.7111,1260,1260,98133,1040
282,2,11,4,3,5.0,47.699,4270,4100,98033,3400
283,2,7,2,3,3.0,47.3303,1600,1700,98001,1600
284,1,7,1,3,3.0,47.4718,1110,1140,98166,1110
285,1,6,1,4,3.0,47.5689,1500,1740,98118,1060
286,1,7,2,3,4.0,47.7683,2140,2360,98028,1320
287,2,11,2,4,6.0,47.627,3560,2780,98112,3560
288,1,6,1,5,2.0,47.3877,1040,910,98032,1040
289,1,8,1,4,3.0,47.3358,1870,1950,98003,1870
290,2,9,3,3,3.0,47.6804,4120,2770,98014,3180
291,1,7,1,4,2.0,47.6224,1010,1770,98112,1010
292,1,7,1,3,3.0,47.3586,1640,1680,98042,1130
293,2,11,4,5,7.0,47.6307,6210,2940,98109,4760
294,1,7,1,4,3.0,47.425,2070,2011,98058,1420
295,1,8,2,4,3.0,47.4801,1940,2560,98027,1940
296,2,8,5,3,7.0,47.7393,3700,2510,98155,3700
297,2,7,4,3,9.0,47.6927,3830,1460,98103,2450
298,1,7,1,3,3.0,47.3146,1380,1380,98003,1380
299,2,8,2,4,3.0,47.3534,1600,1700,98038,1600
300,2,9,3,3,3.0,47.516,2270,2850,98056,2130
301,2,8,2,5,4.0,47.5656,2600,1990,98116,1960
302,1,10,2,3,2.0,47.5304,2550,2560,98056,1720
303,2,10,4,3,4.0,47.6193,3680,3200,98074,3680
304,1,7,2,3,5.0,47.4877,2060,1010,98146,1030
305,1,7,1,3,4.0,47.6232,2310,2840,98004,1890
306,1,6,1,5,5.0,47.4692,1500,1200,98166,760
307,1,7,1,4,3.0,47.6069,1580,2600,98008,1210
308,1,8,1,4,3.0,47.6098,1680,2250,98005,1680
309,1,7,2,4,3.0,47.6452,2520,1800,98119,1360
310,2,8,2,3,3.0,47.4818,1920,1930,98055,1920
311,2,7,3,3,4.0,47.7379,1830,1740,98028,1830
312,1,7,1,4,2.0,47.55,820,1490,98126,820
313,1,7,1,5,4.0,47.3614,1720,1220,98042,1720
314,1,6,1,4,2.0,47.588,1040,1340,98144,1040
315,1,8,2,3,2.0,47.7094,1350,1440,98053,1350
316,2,7,2,4,3.0,47.6534,1760,2010,98052,1760
317,1,8,2,4,3.0,47.5972,2540,2040,98144,1600
318,2,9,3,3,5.0,47.715,4130,4130,98077,3170
319,2,10,3,3,4.0,47.6979,3900,3820,98033,3900
320,2,8,2,3,3.0,47.3738,1830,1940,98038,1830
321,1,6,1,2,1.0,47.4653,1100,1100,98166,820
322,1,7,2,4,2.0,47.654,1550,1180,98103,1550
323,1,7,1,3,2.0,47.6623,820,1370,98103,820
324,1,6,1,3,2.0,47.2777,910,1326,98001,910
325,1,7,1,3,2.0,47.6397,1640,2440,98053,840
326,1,8,2,3,3.0,47.5397,1860,1960,98027,1860
327,2,8,2,3,4.0,47.7402,2430,2260,98155,2430
328,1,7,2,5,4.0,47.7563,3305,1620,98133,2245
329,1,8,1,4,3.0,47.3098,2190,1980,98023,2190
330,3,8,2,3,2.0,47.6534,1150,1360,98103,1150
331,2,8,2,3,3.0,47.5654,2030,2030,98027,2030
332,3,8,2,3,3.0,47.7175,1606,1516,98125,1606
333,1,8,2,3,3.0,47.5516,2350,1700,98118,1780
334,1,7,2,5,3.0,47.7163,1540,1540,98034,1210
335,1,9,2,3,4.0,47.6316,1890,2430,98112,1470
336,1,9,3,5,5.0,47.5562,3040,3180,98040,1970
337,2,11,3,4,4.0,47.5263,3820,2900,98040,3310
338,1,7,1,3,2.0,47.4633,2200,2590,98027,1100
339,1,7,1,3,4.0,47.5035,2000,1880,98178,1100
340,1,7,1,4,3.0,47.651,1250,1900,98103,1150
341,1,7,2,3,3.0,47.449,1240,1480,98058,1240
342,2,7,1,3,2.0,47.5842,860,1280,98144,860
343,1,8,2,3,3.0,47.4749,2430,2800,98059,2430
344,2,8,2,3,3.0,47.4575,1780,2440,98045,1780
345,1,7,2,5,6.0,47.4635,2820,2520,98166,1970
346,2,7,2,3,3.0,47.4933,1190,1190,98178,1190
347,1,8,1,4,3.0,47.6398,1980,2120,98008,1980
348,1,7,1,4,3.0,47.6844,1310,1310,98052,1310
349,2,9,2,3,4.0,47.5981,3290,3100,98075,3290
350,2,8,2,3,2.0,47.6254,1360,1430,98112,1050
351,1,8,1,4,3.0,47.6201,2430,2930,98004,1340
352,2,9,2,3,4.0,47.5439,2660,3620,98029,2660
353,1,7,1,4,2.0,47.6454,1540,1420,98119,820
354,3,10,2,3,3.0,47.531,2920,2920,98056,2920
355,1,7,1,5,3.0,47.4156,1890,1500,98042,1890
356,1,7,2,2,2.0,47.5145,1550,1600,98065,1550
357,2,7,3,3,2.0,47.7479,3160,3140,98077,3160
358,1,7,1,3,4.0,47.327,1730,1840,98023,1230
359,2,9,2,3,3.0,47.45,2015,1780,98166,2015
360,1,5,1,2,2.0,47.4799,520,1572,98168,520
361,2,9,2,3,4.0,47.3061,2460,2390,98023,2460
362,1,6,1,4,2.0,47.5351,1270,1270,98118,650
363,1,7,1,3,4.0,47.476,2100,1540,98168,1050
364,2,10,3,4,6.0,47.6263,3510,3450,98112,3510
365,1,7,2,4,4.0,47.6871,2280,1680,98115,1540
366,2,8,2,3,3.0,47.7336,2090,2280,98019,2090
367,1,8,2,4,5.0,47.3762,2440,2670,98042,2440
368,1,7,2,4,3.0,47.7249,1960,1960,98034,1290
369,2,9,3,3,3.0,47.6636,2640,1990,98105,1840
370,2,8,1,3,2.0,47.6381,980,1190,98119,980
371,1,7,1,5,3.0,47.5848,1320,1440,98116,1320
372,2,8,2,3,4.0,47.6695,2250,2350,98053,2250
373,2,7,1,3,2.0,47.7076,980,1040,98014,980
374,1,6,1,3,3.0,47.5271,950,1360,98108,790
375,1,7,1,4,3.0,47.4901,1490,1490,98168,1490
376,1,6,1,3,2.0,47.5267,720,1357,98106,720
377,3,8,1,3,3.0,47.6558,1410,1350,98103,1410
378,2,7,1,3,2.0,47.6183,960,1290,98122,960
379,1,7,2,3,3.0,47.3491,1940,1750,98030,1460
380,1,9,2,4,5.0,47.5368,3160,3260,98040,1780
381,2,7,2,3,4.0,47.5928,2550,2550,98075,2550
382,3,8,2,3,3.0,47.6961,1540,1540,98103,1470
383,1,7,1,4,3.0,47.4307,1260,1510,98148,1260
384,2,7,2,4,3.0,47.6953,1750,1750,98033,1750
385,2,8,2,3,4.0,47.7237,2280,2300,98077,2280
386,1,6,1,4,3.0,47.2898,1390,1420,98001,1390
387,1,8,1,4,4.0,47.3789,2250,2150,98030,2150
388,2,8,1,5,4.0,47.5807,3410,2550,98144,2190
389,1,10,3,5,5.0,47.6421,2800,2450,98109,1910
390,1,7,1,5,2.0,47.6423,1230,1210,98119,1230
391,2,8,2,3,3.0,47.7734,2310,2440,98028,2310
392,1,7,1,3,4.0,47.6579,1840,1770,98052,1220
393,1,7,1,3,3.0,47.6899,1670,1560,98115,1170
394,1,8,3,5,4.0,47.6164,2920,2970,98008,1460
395,1,7,1,4,3.0,47.4183,1390,1460,98031,1390
396,1,7,2,3,3.0,47.7218,1510,2060,98077,1510
397,1,7,1,3,4.0,47.584,2480,2440,98004,1390
398,1,7,1,2,3.0,47.3043,2240,1920,98092,1480
399,3,8,1,3,2.0,47.6801,1020,1340,98103,1020
400,2,8,2,3,4.0,47.3501,2320,2150,98042,2320
401,1,7,1,3,4.0,47.383,2130,1480,98032,1100
402,1,7,1,3,3.0,47.4815,1590,2980,98059,1590
403,2,7,2,3,4.0,47.3531,1810,1760,98042,1810
404,1,7,1,3,2.0,47.6896,1060,1420,98103,1060
405,2,9,2,3,3.0,47.5836,3010,2950,98075,3010
406,1,7,1,3,3.0,47.6981,1460,1720,98052,1460
407,1,7,1,3,3.0,47.7327,1890,1380,98125,1230
408,2,7,2,3,6.0,47.369,3206,2527,98032,3206
409,1,8,2,5,4.0,47.6893,1910,1360,98103,1910
410,1,8,2,3,2.0,47.7195,1870,1670,98053,1870
411,2,7,2,3,4.0,47.2796,2020,1940,98001,2020
412,1,7,1,4,2.0,47.7257,1020,1430,98177,1020
413,2,8,1,3,2.0,47.6319,1110,1680,98119,930
414,1,8,2,4,3.0,47.5841,1690,2140,98116,1690
415,2,8,2,3,3.0,47.2659,1920,2310,98003,1920
416,1,8,1,4,4.0,47.4444,2060,2590,98166,1160
417,1,8,3,4,3.0,47.7591,2480,1260,98077,1620
418,1,7,2,4,3.0,47.3092,1920,1920,98023,1510
419,1,9,2,3,4.0,47.7642,2430,2750,98077,2430
420,3,8,2,3,3.0,47.7265,1352,1439,98125,1352
421,2,8,2,3,4.0,47.3397,3060,2090,98010,3060
422,1,8,2,3,4.0,47.4424,1970,1980,98058,1170
423,1,6,1,3,3.0,47.5603,1390,1440,98024,1390
424,2,12,6,3,5.0,47.5371,7270,1800,98027,6420
425,2,8,2,4,4.0,47.5916,2330,2210,98007,2330
426,1,7,1,5,4.0,47.6802,1750,1640,98117,1050
427,2,7,1,3,2.0,47.704,1020,1020,98133,1020
428,1,7,2,4,3.0,47.4825,1690,1690,98059,1690
429,1,9,2,3,3.0,47.5917,2950,3880,98075,2950
430,2,11,2,3,4.0,47.7287,4230,3890,98077,4230
431,3,8,2,3,3.0,47.6973,1340,1110,98103,1340
432,1,7,2,3,4.0,47.4098,1930,1714,98031,1430
433,2,10,4,4,4.0,47.7245,5860,3320,98072,4910
434,1,9,3,3,4.0,47.5134,3810,3230,98056,2560
435,2,10,2,3,3.0,47.6652,3560,3660,98053,3560
436,1,8,2,4,3.0,47.4723,1640,1870,98059,1640
437,1,7,1,4,3.0,47.5719,1620,2440,98006,1620
438,2,10,2,3,4.0,47.5515,2790,3080,98027,2790
439,2,8,3,3,4.0,47.5797,2730,1980,98116,2400
440,1,7,1,4,4.0,47.3178,1430,1550,98092,1430
441,2,8,2,3,4.0,47.7678,2840,2840,98028,2840
442,2,8,2,3,4.0,47.4513,1940,1940,98058,1940
443,1,6,1,3,2.0,47.5054,720,1250,98178,720
444,1,8,2,4,3.0,47.6889,1660,2100,98052,1370
445,1,6,1,3,3.0,47.3422,1360,1670,98010,1360
446,1,7,2,4,4.0,47.4482,2130,2300,98055,1380
447,2,7,2,3,3.0,47.6983,998,998,98117,798
448,1,7,1,3,4.0,47.3458,1470,1810,98010,1470
449,2,8,2,3,4.0,47.7514,2470,2270,98155,2470
450,1,7,1,4,3.0,47.6099,1750,2310,98074,1300
451,1,6,1,4,2.0,47.3356,960,1860,98070,960
